0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:01 +0800] "GET /mybatis_house/jsp/denglu.jsp HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:01 +0800] "GET /mybatis_house/css/style2.css HTTP/1.1" 200 185350
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:01 +0800] "GET /mybatis_house/js/md5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:01 +0800] "GET /mybatis_house/js/pcLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:01 +0800] "GET /mybatis_house/js/gather.pc.soure.js HTTP/1.1" 200 201003
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:01 +0800] "GET /mybatis_house/img/loginImg1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:01 +0800] "GET /mybatis_house/img/sSprite.png HTTP/1.1" 200 51811
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:57 +0800] "GET /mybatis_house/jsp/Login.jsp HTTP/1.1" 200 16421
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:57 +0800] "GET /mybatis_house/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:23:20:57 +0800] "GET /mybatis_house/css/bootstrap.min.css HTTP/1.1" 304 -
